from_label,to_label,from_mhz,to_mhz,ms
Z25,H16,2475.000,917.500,1.326
Z25,H17,2475.000,918.500,1.229
Z25,H18,2475.000,919.500,1.258
Z25,H19,2475.000,920.500,1.336
Z25,H20,2475.000,921.500,1.424
Z25,H21,2475.000,922.500,1.251
Z25,H22,2475.000,923.500,1.370
Z25,H23,2475.000,924.500,1.226
Z25,H24,2475.000,925.500,1.185
Z25,H25,2475.000,926.500,1.329
Z25,H26,2475.000,927.500,1.219
Z26,Z11,2480.000,2405.000,1.202
Z26,Z12,2480.000,2410.000,1.200
Z26,Z13,2480.000,2415.000,1.446
Z26,Z14,2480.000,2420.000,1.285
Z26,Z15,2480.000,2425.000,1.233
Z26,Z16,2480.000,2430.000,1.360
Z26,Z17,2480.000,2435.000,1.206
Z26,Z18,2480.000,2440.000,1.212
Z26,Z19,2480.000,2445.000,1.298
Z26,Z20,2480.000,2450.000,1.282
Z26,Z21,2480.000,2455.000,1.281
Z26,Z22,2480.000,2460.000,1.410
Z26,Z23,2480.000,2465.000,1.264
Z26,Z24,2480.000,2470.000,1.403
Z26,Z25,2480.000,2475.000,1.274
Z26,Z26,2480.000,2480.000,0.339
Z26,H1,2480.000,902.500,1.194
Z26,H2,2480.000,903.500,1.262
Z26,H3,2480.000,904.500,1.230
Z26,H4,2480.000,905.500,1.215
Z26,H5,2480.000,906.500,1.192
Z26,H6,2480.000,907.500,1.351
Z26,H7,2480.000,908.500,1.246
Z26,H8,2480.000,909.500,1.253
Z26,H9,2480.000,910.500,1.384
Z26,H10,2480.000,911.500,1.277
Z26,H11,2480.000,912.500,1.281
Z26,H12,2480.000,913.500,1.188
Z26,H13,2480.000,914.500,1.255
Z26,H14,2480.000,915.500,1.287
Z26,H15,2480.000,916.500,1.321
Z26,H16,2480.000,917.500,1.368
Z26,H17,2480.000,918.500,1.310
Z26,H18,2480.000,919.500,1.287
Z26,H19,2480.000,920.500,1.278
Z26,H20,2480.000,921.500,1.341
Z26,H21,2480.000,922.500,1.205
