method,test,from,to,run,time_ms
set_frequency,grid,900,900,4,0.6111
set_frequency,grid,900,1000,0,11.7405
set_frequency,grid,900,1000,1,11.4530
set_frequency,grid,900,1000,2,10.9564
set_frequency,grid,900,1000,3,11.8926
set_frequency,grid,900,1000,4,11.4469
set_frequency,grid,1000,100,0,11.6791
set_frequency,grid,1000,100,1,11.9061
set_frequency,grid,1000,100,2,11.9868
set_frequency,grid,1000,100,3,10.9925
set_frequency,grid,1000,100,4,11.5753
set_frequency,grid,1000,200,0,12.4648
set_frequency,grid,1000,200,1,10.9460
set_frequency,grid,1000,200,2,11.6150
set_frequency,grid,1000,200,3,10.8946
set_frequency,grid,1000,200,4,11.1049
set_frequency,grid,1000,300,0,14.3943
set_frequency,grid,1000,300,1,11.4805
set_frequency,grid,1000,300,2,11.4619
set_frequency,grid,1000,300,3,12.7091
set_frequency,grid,1000,300,4,11.8865
set_frequency,grid,1000,400,0,11.3561
set_frequency,grid,1000,400,1,14.5708
set_frequency,grid,1000,400,2,12.2370
set_frequency,grid,1000,400,3,12.7944
set_frequency,grid,1000,400,4,11.0758
set_frequency,grid,1000,500,0,11.5819
set_frequency,grid,1000,500,1,11.4340
set_frequency,grid,1000,500,2,11.4892
set_frequency,grid,1000,500,3,13.2211
set_frequency,grid,1000,500,4,12.0661
set_frequency,grid,1000,600,0,11.6781
set_frequency,grid,1000,600,1,10.6054
set_frequency,grid,1000,600,2,11.9166
set_frequency,grid,1000,600,3,10.6473
set_frequency,grid,1000,600,4,11.4279
set_frequency,grid,1000,700,0,13.0301
set_frequency,grid,1000,700,1,12.0691
set_frequency,grid,1000,700,2,11.4164
set_frequency,grid,1000,700,3,11.3041
set_frequency,grid,1000,700,4,11.6082
set_frequency,grid,1000,800,0,11.3701
set_frequency,grid,1000,800,1,12.1200
set_frequency,grid,1000,800,2,10.3695
set_frequency,grid,1000,800,3,9.2349
set_frequency,grid,1000,800,4,9.1088
set_frequency,grid,1000,900,0,9.1554
set_frequency,grid,1000,900,1,10.0864
set_frequency,grid,1000,900,2,11.5858
set_frequency,grid,1000,900,3,11.4967
set_frequency,grid,1000,900,4,11.2370
set_frequency,grid,1000,1000,0,0.7212
set_frequency,grid,1000,1000,1,0.7107
set_frequency,grid,1000,1000,2,0.6963
set_frequency,grid,1000,1000,3,0.6912
set_frequency,grid,1000,1000,4,0.7216
schedule_retune,grid,100,100,0,0.3538
schedule_retune,grid,100,100,1,0.3470
schedule_retune,grid,100,100,2,0.3436
schedule_retune,grid,100,100,3,0.3460
schedule_retune,grid,100,100,4,0.3490
schedule_retune,grid,100,200,0,1.3150
schedule_retune,grid,100,200,1,0.3473
schedule_retune,grid,100,200,2,0.3529
schedule_retune,grid,100,200,3,0.3489
schedule_retune,grid,100,200,4,0.3602
schedule_retune,grid,100,300,0,1.2245
schedule_retune,grid,100,300,1,0.3845
schedule_retune,grid,100,300,2,0.3500
schedule_retune,grid,100,300,3,0.3546
schedule_retune,grid,100,300,4,0.3450
schedule_retune,grid,100,400,0,1.2144
schedule_retune,grid,100,400,1,0.3593
schedule_retune,grid,100,400,2,0.3475
schedule_retune,grid,100,400,3,0.3467
schedule_retune,grid,100,400,4,0.3469
schedule_retune,grid,100,500,0,1.1870
schedule_retune,grid,100,500,1,0.3481
schedule_retune,grid,100,500,2,0.3490
schedule_retune,grid,100,500,3,0.3455
schedule_retune,grid,100,500,4,0.3467
schedule_retune,grid,100,600,0,1.2254
schedule_retune,grid,100,600,1,0.3477
schedule_retune,grid,100,600,2,0.3540
schedule_retune,grid,100,600,3,0.3556
schedule_retune,grid,100,600,4,0.3535
schedule_retune,grid,100,700,0,1.2210
schedule_retune,grid,100,700,1,0.3534
schedule_retune,grid,100,700,2,0.3622
schedule_retune,grid,100,700,3,0.3597
schedule_retune,grid,100,700,4,0.3574
schedule_retune,grid,100,800,0,1.2214
schedule_retune,grid,100,800,1,0.3457
schedule_retune,grid,100,800,2,0.3458
schedule_retune,grid,100,800,3,0.3209
schedule_retune,grid,100,800,4,0.3390
schedule_retune,grid,100,900,0,1.2124
schedule_retune,grid,100,900,1,1.4475
schedule_retune,grid,100,900,2,1.4379
schedule_retune,grid,100,900,3,1.2523
schedule_retune,grid,100,900,4,1.4399
schedule_retune,grid,100,1000,0,1.4790
schedule_retune,grid,100,1000,1,0.5391
schedule_retune,grid,100,1000,2,0.5586
